subject,best_model,min_docs,ngram_range,max_features,n_topics,coherence,irbo,topic_quality,time_seconds
math,sentence_transformers_all_MiniLM_L6_v2,50,"(1, 1)",10000.0,391,0.6562769852056822,0.9916629138115602,0.7898413575099887,49.100109577178955
math,sentence_transformers_all_MiniLM_L6_v2,50,"(1, 1)",50000.0,391,0.652579157763991,0.991724885382812,0.7871767866753852,49.86309313774109
math,sentence_transformers_all_MiniLM_L6_v2,50,"(1, 1)",,391,0.652905308201304,0.9917140657750647,0.7874106119276297,50.58389639854431
math,sentence_transformers_all_MiniLM_L6_v2,100,"(1, 1)",10000.0,251,0.679545475528994,0.9880107245314426,0.8052480792897913,40.92963004112244
math,sentence_transformers_all_MiniLM_L6_v2,100,"(1, 1)",50000.0,251,0.6788466992942449,0.9879702398082404,0.8047438402350088,41.436152935028076
math,sentence_transformers_all_MiniLM_L6_v2,100,"(1, 1)",,251,0.6788466992942449,0.9879686714417065,0.8047433199448842,41.55656933784485
math,sentence_transformers_all_MiniLM_L6_v2,150,"(1, 1)",10000.0,175,0.6879758516144858,0.9844150627010109,0.8099228251684669,37.37200331687927
math,sentence_transformers_all_MiniLM_L6_v2,150,"(1, 1)",50000.0,175,0.6864925752759076,0.9843150897197893,0.8088603026394579,38.82746863365173
math,sentence_transformers_all_MiniLM_L6_v2,150,"(1, 1)",,175,0.6865804549472144,0.9843057753529688,0.808918154628648,38.64534592628479
math,sentence_transformers_all_MiniLM_L6_v2,200,"(1, 1)",10000.0,124,0.6923662297770348,0.9816994894792346,0.8120297338704175,36.23014998435974
math,sentence_transformers_all_MiniLM_L6_v2,200,"(1, 1)",50000.0,124,0.6914268272548231,0.9815960809330224,0.8113479576483413,36.47915053367615
math,sentence_transformers_all_MiniLM_L6_v2,200,"(1, 1)",,124,0.6914268272548231,0.9815898090093403,0.8113458151471757,36.495140075683594
math,sentence_transformers_all_MiniLM_L6_v2,250,"(1, 1)",10000.0,90,0.6700671193988657,0.9761434683736417,0.7946512346089665,35.32899856567383
math,sentence_transformers_all_MiniLM_L6_v2,250,"(1, 1)",50000.0,90,0.6677740212367703,0.9756727771529515,0.7928810722496743,36.7078332901001
math,sentence_transformers_all_MiniLM_L6_v2,250,"(1, 1)",,90,0.6677740212367703,0.9756727771529515,0.7928810722496743,36.819995403289795
physics,all_mpnet_base_v2,10,"(1, 1)",10000.0,479,0.6567334665882462,0.9935145243675463,0.7907590099376222,86.24232125282288
physics,all_mpnet_base_v2,10,"(1, 1)",50000.0,479,0.640610131900623,0.9940159911002944,0.7791099167135739,84.10682106018066
physics,all_mpnet_base_v2,10,"(1, 1)",,479,0.6403762902210822,0.9939998411404329,0.778931990795695,85.81844902038574
physics,all_mpnet_base_v2,25,"(1, 1)",10000.0,427,0.6788684683492295,0.9924362381658782,0.8062367828923084,77.759122133255
physics,all_mpnet_base_v2,25,"(1, 1)",50000.0,427,0.6666866752109596,0.9927048729049196,0.7976696132336024,76.08542346954346
physics,all_mpnet_base_v2,25,"(1, 1)",,427,0.6670859919476242,0.9926945046395375,0.7979520131731899,75.73710203170776
physics,all_mpnet_base_v2,50,"(1, 1)",10000.0,360,0.6930602496610792,0.9913113266313345,0.8157801771511191,72.32212567329407
physics,all_mpnet_base_v2,50,"(1, 1)",50000.0,360,0.6891197594224886,0.9913926702723643,0.8130713731049364,72.47468733787537
physics,all_mpnet_base_v2,50,"(1, 1)",,360,0.6888682821586259,0.9913627903917955,0.8128862624973904,72.65396332740784
physics,all_mpnet_base_v2,100,"(1, 1)",10000.0,270,0.6986966811467716,0.9891234713492786,0.8189228947876513,63.94467258453369
physics,all_mpnet_base_v2,100,"(1, 1)",50000.0,270,0.6977643139099402,0.9890857251795352,0.8182692027670642,63.497379302978516
physics,all_mpnet_base_v2,100,"(1, 1)",,270,0.6976975419460467,0.9890726299352016,0.8182188067164735,64.1894154548645
physics,all_mpnet_base_v2,150,"(1, 1)",10000.0,188,0.7046069595539346,0.9869779880681797,0.8222248089708222,59.914095878601074
physics,all_mpnet_base_v2,150,"(1, 1)",50000.0,188,0.7036240024300552,0.986778739957718,0.821486128724264,61.61354637145996
physics,all_mpnet_base_v2,150,"(1, 1)",,188,0.7033340263543798,0.9867737711610841,0.8212867445324438,63.20637392997742
physics,all_mpnet_base_v2,200,"(1, 1)",10000.0,144,0.696651143619011,0.98365889538028,0.815643630538062,58.628318786621094
physics,all_mpnet_base_v2,200,"(1, 1)",50000.0,144,0.6949544822507283,0.98357161304657,0.8144496519227212,62.07092237472534
physics,all_mpnet_base_v2,200,"(1, 1)",,144,0.6947692756388304,0.9835299200135718,0.8143081612570005,59.23498201370239
physics,all_mpnet_base_v2,250,"(1, 1)",10000.0,110,0.6669768223286323,0.9792972473270974,0.7935113286531188,56.14003276824951
physics,all_mpnet_base_v2,250,"(1, 1)",50000.0,110,0.6609707482002005,0.9784900866316883,0.7889829472978289,55.88956046104431
physics,all_mpnet_base_v2,250,"(1, 1)",,110,0.6609707482002005,0.9784880920657999,0.7889822989003764,56.10939145088196
