subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
cs,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.514703,0.485297,"human, gesture, interaction, kinect, haptic, recognition, bci, body, devnagari_character, emotional, guide, hand_gesture, hypervisor, movement, pad, reflexive, rgt, social, virtual, xen, activity, erg, ergonomic, hand, left_right, mental, people, wearable","body, gesture, human, interaction, recognition, activity, hand_gesture, movement, robot, dataset, people, person, computer, hand, keyboard, kinect, left_right"
cs,2,2015–2020,2020–2025,2015–2020 → 2020–2025,0.67912,0.32088,"body, gesture, human, interaction, recognition, activity, hand_gesture, movement, robot, dataset, people, person, computer, hand, keyboard, kinect, left_right","activity, body, gesture, human, interaction, recognition, robot, dataset, movement, motion, avatar, hand, llm, person, virtual"
cs,3,2000–2005,2005–2010,2000–2005 → 2005–2010,0.376208,0.623792,"algorithm, color, image, gamut, radial_distortion, bird, camera, cbir, colorimetric, cyborg_astrobiologist, display, parallelepiped, projector, quasiconvex, terminology, undistortion, benchmark, bibliography, bilevel, colour, contour, digital, dramati, extrema, fbt, geological, heteroge, ing, neous, reproduction, segmentation, superresolution, texture","image, algorithm, segmentation, grain, camera, classification, cyborg_astrobiologist, detector, iris, pixel, radial_distortion, repeatability, certainty, color, content, delay, dermoscopy, extraction, fbt, fcm, fish, fusion, geological, gray, morlet, object, pipeline, polarimetric, recognition, registration, seabed, superresolution, texture, ullman, view, watermark, yield"
cs,3,2005–2010,2010–2015,2005–2010 → 2010–2015,0.515624,0.484376,"image, algorithm, segmentation, grain, camera, classification, cyborg_astrobiologist, detector, iris, pixel, radial_distortion, repeatability, certainty, color, content, delay, dermoscopy, extraction, fbt, fcm, fish, fusion, geological, gray, morlet, object, pipeline, polarimetric, recognition, registration, seabed, superresolution, texture, ullman, view, watermark, yield","algorithm, image, pixel, segmentation, texture, color, descriptor, iris, object, detection, fusion, region, resolution, cnn, dermoscopy, detector, extraction, fcm, grain, salient, scene, skin, watermark"
cs,3,2010–2015,2015–2020,2010–2015 → 2015–2020,0.344055,0.655945,"algorithm, image, pixel, segmentation, texture, color, descriptor, iris, object, detection, fusion, region, resolution, cnn, dermoscopy, detector, extraction, fcm, grain, salient, scene, skin, watermark","cnn, detection, image, object, scene, segmentation, dataset, deep, convolutional_neural_network, network, pixel, algorithm, color, datum, region, texture"
cs,3,2015–2020,2020–2025,2015–2020 → 2020–2025,0.635597,0.364403,"cnn, detection, image, object, scene, segmentation, dataset, deep, convolutional_neural_network, network, pixel, algorithm, color, datum, region, texture","dataset, detection, image, object, scene, segmentation, network, reconstruction, cnn, view, camera, datum, depth, deep, quality"
cs,4,2000–2005,2005–2010,2000–2005 → 2005–2010,0.066834,0.933166,"alarm, series, causality, freq, noise, rainfall, slab, stock_market, taiwan, win, acute, circ77, correlation, datum, didn, dihedral_angle, dow_jones_industrial, encephalitis, event, forecast, forecaster, forecasting, gambling, heteroskedastic, mar, neutron, oak_ridge, predictable, prediction, predictive, prognosis, routing, selection, skeptic, spallation, strategy, taiex, tick","prediction, forecasting, ajaccio, bastia, class, defensive, platinum, series, subcellular, algorithm, benchmark, cohere, corte, cumulative, danube, datum, diffusion, ensemble, forecast, forecaster, gambling, kohonen, label, line, loss, news, nrmse, pandemic, planetlab, predictive, price, rainfall, region, rmse, routing, seaside, skeptic, solar_radiation, spread, strategy, tsds, tycoon, water, weighting, wig"
cs,4,2005–2010,2010–2015,2005–2010 → 2010–2015,0.051189,0.948811,"prediction, forecasting, ajaccio, bastia, class, defensive, platinum, series, subcellular, algorithm, benchmark, cohere, corte, cumulative, danube, datum, diffusion, ensemble, forecast, forecaster, gambling, kohonen, label, line, loss, news, nrmse, pandemic, planetlab, predictive, price, rainfall, region, rmse, routing, seaside, skeptic, solar_radiation, spread, strategy, tsds, tycoon, water, weighting, wig","event, network, pattern, rumor, social, datum, diffusion, epidemic, tweet, twitter, art1, information, news, pandemic, prediction, social_medium, ajaccio, arwu, bastia, disease, dynamic, flu, friendship, influential_spreader, mining, series, spread, tsds, water"
cs,4,2010–2015,2015–2020,2010–2015 → 2015–2020,0.434693,0.565307,"event, network, pattern, rumor, social, datum, diffusion, epidemic, tweet, twitter, art1, information, news, pandemic, prediction, social_medium, ajaccio, arwu, bastia, disease, dynamic, flu, friendship, influential_spreader, mining, series, spread, tsds, water","datum, network, prediction, social_medium, tweet, twitter, information, diffusion, forecasting, series, social, pattern, covid, epidemic, forecast, friendship, rumor"
cs,4,2015–2020,2020–2025,2015–2020 → 2020–2025,0.62305,0.37695,"datum, network, prediction, social_medium, tweet, twitter, information, diffusion, forecasting, series, social, pattern, covid, epidemic, forecast, friendship, rumor","datum, forecast, forecasting, prediction, series, social_medium, dataset, tweet, covid, diffusion, twitter, weather, deep_learning, network"
cs,5,2000–2005,2005–2010,2000–2005 → 2005–2010,0.473966,0.526034,"agent, action, belief, mas, multi, behavior, defeasibilitie, defeasible, forager, language, maxi, prl, advice, algorithm, alife, brainstorm, btev, ccgolog, competitive, congolog, decision, environment, habituation, information, intelligent, niching, observable, plan, plannable, purposeful, queen, request, robocup, robot, self, uiml, uis, world","agent, environment, multi, action, cscr, planning, algorithm, behavior, collaborative, cscl, signcryption, supervisor, btev, capp, communication, conformant, cscw, epdta, expertism, humanoid, information, krause, motility, nematode, niching, opinion, plan, psiplan, robot, scenario, self, stegagent, tactical, temperamental, trustmas, virtual"
cs,5,2005–2010,2010–2015,2005–2010 → 2010–2015,0.720009,0.279991,"agent, environment, multi, action, cscr, planning, algorithm, behavior, collaborative, cscl, signcryption, supervisor, btev, capp, communication, conformant, cscw, epdta, expertism, humanoid, information, krause, motility, nematode, niching, opinion, plan, psiplan, robot, scenario, self, stegagent, tactical, temperamental, trustmas, virtual","agent, environment, multi, plan, planning, action, algorithm, conformant, epdta, motility, nematode, policy, adaptable, behavior, belief, cnp, dynamic, exploration, learning, mas, negotiation, planner, signcryption, wright"
cs,5,2010–2015,2015–2020,2010–2015 → 2015–2020,0.501171,0.498829,"agent, environment, multi, plan, planning, action, algorithm, conformant, epdta, motility, nematode, policy, adaptable, behavior, belief, cnp, dynamic, exploration, learning, mas, negotiation, planner, signcryption, wright","action, agent, environment, algorithm, learning, reinforcement_learning, deep, policy, reward, planning, dynamic, exploration, multi, adaptable, belief, human, mas, plan, robot"
cs,5,2015–2020,2020–2025,2015–2020 → 2020–2025,0.832515,0.167485,"action, agent, environment, algorithm, learning, reinforcement_learning, deep, policy, reward, planning, dynamic, exploration, multi, adaptable, belief, human, mas, plan, robot","action, agent, environment, multi, policy, reinforcement_learning, reward, algorithm, learning, robot, deep, human, llm, planning"
cs,6,2000–2005,2005–2010,2000–2005 → 2005–2010,0.511924,0.488076,"packet, protocol, multicast, network, traffic, internet, mtus, multipoint, node, topology, wireless, algorithm, goodput, mobility, red, club, handoff, lan, link, routing, sensor","network, node, packet, protocol, routing, traffic, wireless, algorithm, internet, topology, delay, throughput, link, mobile, multicast, queue, sensor"
cs,6,2005–2010,2010–2015,2005–2010 → 2010–2015,0.898949,0.101051,"network, node, packet, protocol, routing, traffic, wireless, algorithm, internet, topology, delay, throughput, link, mobile, multicast, queue, sensor","network, node, packet, protocol, traffic, wireless, mobile, routing, algorithm, link, sensor, delay, queue, tcp, throughput"
cs,6,2010–2015,2015–2020,2010–2015 → 2015–2020,0.532051,0.467949,"network, node, packet, protocol, traffic, wireless, mobile, routing, algorithm, link, sensor, delay, queue, tcp, throughput","algorithm, link, network, node, packet, traffic, wireless, delay, communication, protocol, mobile, aoi, cellular, service, throughput"
cs,6,2015–2020,2020–2025,2015–2020 → 2020–2025,0.52899,0.47101,"algorithm, link, network, node, packet, traffic, wireless, delay, communication, protocol, mobile, aoi, cellular, service, throughput","communication, network, node, packet, traffic, wireless, congestion, datum, link, service, delay, algorithm, aoi, dynamic, mobility"
cs,7,2000–2005,2005–2010,2000–2005 → 2005–2010,0.546387,0.453613,"semantic, word, corpus, language, lexical, sentence, parser, verb, corpora, noun_modifier, parse, relation, syntactic, algorithm, analogy, basque, dop, information, japanese, lra, pair, paraconsistent_intuitionistic, paraphrase, phrase, subcategorization, tagger, vsm, wordnet","semantic, word, parser, episturmian, grammar, lra, lrme, noun_modifier, relation, sentence, text, vsm, zipf_law, acabit, accept, acronym, analogy, dance, determiner, dictionary, french, lexical, network, nlomj, occurrence, pair, rdf, sturmian, tag, tape, term, unithood, wfsm, wikipedia, wordnet"
cs,7,2005–2010,2010–2015,2005–2010 → 2010–2015,0.428326,0.571674,"semantic, word, parser, episturmian, grammar, lra, lrme, noun_modifier, relation, sentence, text, vsm, zipf_law, acabit, accept, acronym, analogy, dance, determiner, dictionary, french, lexical, network, nlomj, occurrence, pair, rdf, sturmian, tag, tape, term, unithood, wfsm, wikipedia, wordnet","semantic, sentence, text, word, tag, lexicon, arabic, corpus, noun, sentiment, wordnet, accept, adjectival, adjective, badrex, dance, dictionary, episturmian, grammar, language, lexrank, meaning, parser, phrase, poslda, pronunciation, representation, tagging, theatregoer, vector"
cs,7,2010–2015,2015–2020,2010–2015 → 2015–2020,0.351077,0.648923,"semantic, sentence, text, word, tag, lexicon, arabic, corpus, noun, sentiment, wordnet, accept, adjectival, adjective, badrex, dance, dictionary, episturmian, grammar, language, lexrank, meaning, parser, phrase, poslda, pronunciation, representation, tagging, theatregoer, vector","language, representation, semantic, sentence, sentiment, word, embedding, entity, text, relation, phrase, dataset, emotion, vector, wordnet"
cs,7,2015–2020,2020–2025,2015–2020 → 2020–2025,0.633772,0.366228,"language, representation, semantic, sentence, sentiment, word, embedding, entity, text, relation, phrase, dataset, emotion, vector, wordnet","entity, language, relation, semantic, sentence, word, embedding, emotion, sentiment, representation, text, dataset, emotional, llm"
cs,8,2000–2005,2005–2010,2000–2005 → 2005–2010,0.462989,0.537011,"algorithm, polygon, convex, flipturn, point, polytope, polyhedron, unfolding, frd, log, piece, polylog_polylog, segment, bound, bucket, crease, dissection, distance, fractional_brownian, genus, hash, jones_constriction, peg_solitaire, quadric, quadrilateral_mesh, vec, vec_leq, venn_diagram","algorithm, point, graph, log_log, plane, polygon, space, convex, dimension, euclidean, log, set, tile, bargain, bloomi_filter, bound, constant, distance, distortion, fractional_brownian, hash, highway, horoball, jones_constriction, log_log_log_log, packing, rectangle, rhythm, safavi_naini, steiner_spanner, tiling, venn_diagram, xing"
cs,8,2005–2010,2010–2015,2005–2010 → 2010–2015,0.686114,0.313886,"algorithm, point, graph, log_log, plane, polygon, space, convex, dimension, euclidean, log, set, tile, bargain, bloomi_filter, bound, constant, distance, distortion, fractional_brownian, hash, highway, horoball, jones_constriction, log_log_log_log, packing, rectangle, rhythm, safavi_naini, steiner_spanner, tiling, venn_diagram, xing","algorithm, log_log, plane, point, space, polygon, set, graph, size, bound, davidsstar, dimension, dsm, edit_distance, guard, hyperplane, log_log_log_log, prismatoid, radius, rectangle, steiner_spanner, tile"
cs,8,2010–2015,2015–2020,2010–2015 → 2015–2020,0.750485,0.249515,"algorithm, log_log, plane, point, space, polygon, set, graph, size, bound, davidsstar, dimension, dsm, edit_distance, guard, hyperplane, log_log_log_log, prismatoid, radius, rectangle, steiner_spanner, tile","algorithm, log_log, point, polygon, set, space, frac, graph, log, mathcal_mathcal, plane, distance, cdot, convex, log_log_log_log, size"
cs,8,2015–2020,2020–2025,2015–2020 → 2020–2025,0.707034,0.292966,"algorithm, log_log, point, polygon, set, space, frac, graph, log, mathcal_mathcal, plane, distance, cdot, convex, log_log_log_log, size","algorithm, frac, log_log, point, space, mathcal, mathcal_mathcal, cdot, mathbb_mathbb, set, log, mathbb, polygon, distance, line"
cs,9,2000–2005,2005–2010,2000–2005 → 2005–2010,0.662315,0.337685,"datum, information, service, web, agent, grid, mining, enum, host, internet, management, privacy, server, access, archive, babar, business, constituent_datastream, digital, electronic_guidebook, gma, metadata, oais, oais_aip, observatory, registry, resource, timeline, tool, visitor, x11, xmltape","datum, information, service, internet, access, management, digital, client, device, enterprise, server, web, xmltape, braille, business, constituent_datastream, grid, metadata, multidatabase, oais, oais_aip, opc, privacy, product, security, spreadsheet, telerobotics"
cs,9,2005–2010,2010–2015,2005–2010 → 2010–2015,0.655391,0.344609,"datum, information, service, internet, access, management, digital, client, device, enterprise, server, web, xmltape, braille, business, constituent_datastream, grid, metadata, multidatabase, oais, oais_aip, opc, privacy, product, security, spreadsheet, telerobotics","datum, information, privacy, security, service, web, management, network, business, internet, server, technology, client, cloud, organization"
cs,9,2010–2015,2015–2020,2010–2015 → 2015–2020,0.77017,0.22983,"datum, information, privacy, security, service, web, management, network, business, internet, server, technology, client, cloud, organization","datum, information, privacy, service, app, cloud, network, security, iot, blockchain, device, internet, web, big, business, private, technology"
cs,9,2015–2020,2020–2025,2015–2020 → 2020–2025,0.768685,0.231315,"datum, information, privacy, service, app, cloud, network, security, iot, blockchain, device, internet, web, big, business, private, technology","datum, information, privacy, security, iot, private, service, app, client, blockchain, learning, device, server, cloud, llm, risk"
cs,10,2000–2005,2005–2010,2000–2005 → 2005–2010,0.30276,0.69724,"protocol, oblivious, quantum, anonymous, coin_flipping, communication, exchange, asynchronous, bias, email, fuzzy, message, multicast, party, spam, transfer, cleverer, clock, consensus, contract, contractual, disruptor, electronic, mistrustful, multiparty, randomness, rmp, signcryption, skype, ticker, trustcenter","message, protocol, peer, bittorrent, communication, email, fuzzy, network, p2p, peer_peer, robot, scrip, snap, spam, authority, clock_synchronization, dht, exchange, file, hydrocyclone, ms78, msmq, oblivious, party, quantum, randomness, replica, riding, secure, sfc, signcryption"
cs,10,2005–2010,2010–2015,2005–2010 → 2010–2015,0.516198,0.483802,"message, protocol, peer, bittorrent, communication, email, fuzzy, network, p2p, peer_peer, robot, scrip, snap, spam, authority, clock_synchronization, dht, exchange, file, hydrocyclone, ms78, msmq, oblivious, party, quantum, randomness, replica, riding, secure, sfc, signcryption","network, protocol, peer, communication, consensus, message, spam, bittorrent, contract, fuzzy, transaction, bitcoin, trust, anonymous, byzantine, license, paedophile, party, riding, robot, secure, snap, textile, wmn"
cs,10,2010–2015,2015–2020,2010–2015 → 2015–2020,0.406731,0.593269,"network, protocol, peer, communication, consensus, message, spam, bittorrent, contract, fuzzy, transaction, bitcoin, trust, anonymous, byzantine, license, paedophile, party, riding, robot, secure, snap, textile, wmn","bitcoin, consensus, message, network, protocol, transaction, blockchain, communication, miner, node, trust, anonymous, bot, byzantine, money, payment, peer_peer, smart_contract, spam"
cs,10,2015–2020,2020–2025,2015–2020 → 2020–2025,0.776979,0.223021,"bitcoin, consensus, message, network, protocol, transaction, blockchain, communication, miner, node, trust, anonymous, bot, byzantine, money, payment, peer_peer, smart_contract, spam","bitcoin, blockchain, consensus, network, protocol, transaction, communication, byzantine, chain, ethereum, message, miner, trust, ledger, node"
cs,11,2000–2005,2005–2010,2000–2005 → 2005–2010,0.186821,0.813179,"market, price, return, bestseller, bundle, eurodollar, negotiation, retailing, rho, trader, trading, 1990, agent, aggregate, asa, bandwidth, choice, consumer, contract, customer, decision, decision_maker, elicitation, foreign_exchange, forex, investment, monetary, mssp, optimal, parrondo, policy, resource_allocation, retail, shell, shop, stock, strat, strategy, unichain, universalization","mechanism, advertiser, auction, market, price, revenue, bidder, slot, auctioneer, item, mssp, optimal, pricing, advertising, adword_auction, agent, aggregate, allocation, bidding, bundle, coloured_petri, contract, ethernet_switch, negotiation, player, policy, resource_allocation, rfid, search, stock, swoopo, unichain"
cs,11,2005–2010,2010–2015,2005–2010 → 2010–2015,0.537682,0.462318,"mechanism, advertiser, auction, market, price, revenue, bidder, slot, auctioneer, item, mssp, optimal, pricing, advertising, adword_auction, agent, aggregate, allocation, bidding, bundle, coloured_petri, contract, ethernet_switch, negotiation, player, policy, resource_allocation, rfid, search, stock, swoopo, unichain","auction, bidder, mechanism, price, revenue, market, optimal, policy, budget, pricing, advertiser, customer, allocation, consumer, groupon, item, swoopo"
cs,11,2010–2015,2015–2020,2010–2015 → 2015–2020,0.655412,0.344588,"auction, bidder, mechanism, price, revenue, market, optimal, policy, budget, pricing, advertiser, customer, allocation, consumer, groupon, item, swoopo","auction, market, policy, price, pricing, optimal, revenue, customer, mechanism, agent, budget, reinforcement_learning, reward, algorithm, bidder, product"
cs,11,2015–2020,2020–2025,2015–2020 → 2020–2025,0.558158,0.441842,"auction, market, policy, price, pricing, optimal, revenue, customer, mechanism, agent, budget, reinforcement_learning, reward, algorithm, bidder, product","market, policy, price, reinforcement_learning, reward, auction, online, optimal, offline, algorithm, preference, customer, llm, pricing, risk"
cs,12,2000–2005,2005–2010,2000–2005 → 2005–2010,0.469283,0.530717,"network, neural_network, neuron, systolic, interneuron, disruption, memory, tip_tongue, tot, algorithm, attractor, brownian_motion, diffused, feedforward, function, gravitational, interneron, layered, link, milky, nnamm, nonlinear, particle, plasticity, propagation, regularization, semiclassical, signal, smoothed, supermassive_black, weight, x1000","network, neural_network, function, sfn, symbolic, weight, diffused, feedforward, forecasting, handwritten_farsi, kak, nonlinear, permit, river, acausal, algorithm, autonomic, backpropagation, bpg, character, cns, flow, forgy, input, mirroring, ocon, perceptron, plsom, propagation, recognition, regularization, selection, smoothed"
cs,12,2005–2010,2010–2015,2005–2010 → 2010–2015,0.4652,0.5348,"network, neural_network, function, sfn, symbolic, weight, diffused, feedforward, forecasting, handwritten_farsi, kak, nonlinear, permit, river, acausal, algorithm, autonomic, backpropagation, bpg, character, cns, flow, forgy, input, mirroring, ocon, perceptron, plsom, propagation, recognition, regularization, selection, smoothed","network, neural_network, algorithm, deep, layer, pnc, recognition, cytoscape, handwritten_farsi, itm_probe, multiplex, neuron, training, architecture, backpropagation, bushing, classification, cns, committee, community, convolutional, cytoitmprobe, image, inclusivity, maba, mlp, ocon, perceptron, rbf, rbm, sfn, symbolic, tweann, unit"
cs,12,2010–2015,2015–2020,2010–2015 → 2015–2020,0.4059,0.5941,"network, neural_network, algorithm, deep, layer, pnc, recognition, cytoscape, handwritten_farsi, itm_probe, multiplex, neuron, training, architecture, backpropagation, bushing, classification, cns, committee, community, convolutional, cytoitmprobe, image, inclusivity, maba, mlp, ocon, perceptron, rbf, rbm, sfn, symbolic, tweann, unit","convolutional, deep, layer, network, neural_network, training, architecture, image, classification, cnn, recognition, accuracy, convolution, deep_learning, multiplex, neural, neuron, weight"
cs,12,2015–2020,2020–2025,2015–2020 → 2020–2025,0.615406,0.384594,"convolutional, deep, layer, network, neural_network, training, architecture, image, classification, cnn, recognition, accuracy, convolution, deep_learning, multiplex, neural, neuron, weight","architecture, deep, layer, network, neural, neural_network, training, weight, accuracy, deep_learning, activation, convolutional, pruning"
cs,13,2000–2005,2005–2010,2000–2005 → 2005–2010,0.41162,0.58838,"function, distance, dfw_transform, metalevel_evidence, rbf, space, strand, belief, rbfs, similarity, agent, broad_range, cooccurrence, detection, devise, dfw, distributional, fold, fractional, introduction, measure, metric, outli, outlier, proxy, radial_basis, soe1, subspace, unseen, winkler","function, space, measure, strand, boundary, coinduction, compact, distance, distortion, federer, metric, piecewise, redundancy, soe1, allowing, bond, bornological, bregman_divergence, canonical, detection, kriegl, licher, machine, metalevel_evidence, minesweeper, mouth, nasal, outli, outlier, phylogenetic_tree, point_cloud, prop01, property, quasi, rooted_phylogenetic, similarity, stability, subspace, type"
cs,13,2005–2010,2010–2015,2005–2010 → 2010–2015,0.520832,0.479168,"function, space, measure, strand, boundary, coinduction, compact, distance, distortion, federer, metric, piecewise, redundancy, soe1, allowing, bond, bornological, bregman_divergence, canonical, detection, kriegl, licher, machine, metalevel_evidence, minesweeper, mouth, nasal, outli, outlier, phylogenetic_tree, point_cloud, prop01, property, quasi, rooted_phylogenetic, similarity, stability, subspace, type","function, measure, distance, metric, space, ranking, similarity, bornological, itms, kriegl, larp, licher, nasal, type, acl2, algorithm, chet_distance, coinduction, cover_song, derivative, diferenciaci_autom, hol, monad, mouth, ndcg, network, polymonad, prop01, qcb, redundancy, syllable, tarai"
cs,13,2010–2015,2015–2020,2010–2015 → 2015–2020,0.53041,0.46959,"function, measure, distance, metric, space, ranking, similarity, bornological, itms, kriegl, larp, licher, nasal, type, acl2, algorithm, chet_distance, coinduction, cover_song, derivative, diferenciaci_autom, hol, monad, mouth, ndcg, network, polymonad, prop01, qcb, redundancy, syllable, tarai","measure, metric, similarity, function, distance, score, space, hol, scoring, type, aesthetic, algorithm, differential, distortion, network, chet_distance, cover_song, dlct, dnn, morphism, uniformity"
cs,13,2015–2020,2020–2025,2015–2020 → 2020–2025,0.598857,0.401143,"measure, metric, similarity, function, distance, score, space, hol, scoring, type, aesthetic, algorithm, differential, distortion, network, chet_distance, cover_song, dlct, dnn, morphism, uniformity","distance, function, measure, metric, similarity, space, dnn, score, category, continuous, differential, aesthetic, type, discrete, distortion, uniformity"
cs,14,2000–2005,2005–2010,2000–2005 → 2005–2010,0.344333,0.655667,"site, web, success, internet, lab, navigation, service, student, wum, applet, babar, cdn, company, content, museum, plata, search_engine, community, dns, identifier, online, report, slac, track, web_page, website, workshop","content, web, cdn, page, site, digg, internet, issac, student, university, workshop, ajax, browser, cdns, company, csiec, customer, descriptional, dmb, emory, facebook, fault_diagnosis, informatic, interface, mathml, memento, museum, pagerank, proceeding, publisher, search_engine, spreadsheet, teacher, uri, wap, web_page, website, whiteboard"
cs,14,2005–2010,2010–2015,2005–2010 → 2010–2015,0.552985,0.447015,"content, web, cdn, page, site, digg, internet, issac, student, university, workshop, ajax, browser, cdns, company, csiec, customer, descriptional, dmb, emory, facebook, fault_diagnosis, informatic, interface, mathml, memento, museum, pagerank, proceeding, publisher, search_engine, spreadsheet, teacher, uri, wap, web_page, website, whiteboard","content, student, web, page, workshop, proceeding, university, web_page, website, course, mathml, online, teaching, accessibility, belnet, cameo, dmb, eirex, facebook, hor, maxrank, pagerank, site, whiteboard"
cs,14,2010–2015,2015–2020,2010–2015 → 2015–2020,0.691801,0.308199,"content, student, web, page, workshop, proceeding, university, web_page, website, course, mathml, online, teaching, accessibility, belnet, cameo, dmb, eirex, facebook, hor, maxrank, pagerank, site, whiteboard","content, course, student, web, online, workshop, university, website, datum, education, proceeding, teaching, abusehub, belnet, cameo, cdns, detour, mooc, skill, teacher"
cs,14,2015–2020,2020–2025,2015–2020 → 2020–2025,0.724384,0.275616,"content, course, student, web, online, workshop, university, website, datum, education, proceeding, teaching, abusehub, belnet, cameo, cdns, detour, mooc, skill, teacher","content, course, education, student, teacher, online, university, web, skill, teaching, experience, learning, chatgpt, llm, team, workshop"
cs,15,2000–2005,2005–2010,2000–2005 → 2005–2010,0.620917,0.379083,"constraint, language, logic, program, programming, rule, semantic, prolog, termination, calculus, grammar, disjunctive, isabelle, negation, nonmonotonic, reasoning, theory","language, logic, program, semantic, calculus, constraint, programming, order, proof, rule, algorithm, type, termination, prolog"
